alfa_skill,status,severity,referenced_by_count,referenced_by,disposition,beta_home,rationale
ab-testing,dod-complete,P2,3,agents/ab-testing-specialist.md;commands/ab-testing.md;prompts/business/7-ab-testing.md,,,
accessibility-audit,dod-complete,P2,0,,,,
accessibility-design,dod-complete,P2,2,agents/a11y-implementer.md;agents/accessibility-designer.md,,,
accessibility-testing,dod-complete,P2,3,agents/a11y-implementer.md;agents/accessibility-auditor.md;agents/quality-guardian.md,,,
accessibility-writing,dod-complete,P1,3,agents/accessibility-writing-specialist.md;commands/accessibility-writing.md;prompts/content/16-accessibility-writing.md,,,
acta-formal,dod-complete,P1,0,,,,
adaptive-investigation-method,dod-complete,P1,0,,,,
admin-dashboards,dod-complete,P1,1,agents/dashboard-builder.md,,,
agent-constitution-creator,dod-complete,P1,0,,,,
agent-creator,dod-complete,P1,0,,,,
agentic-loop-engineering,dod-complete,P1,0,,,,
ai-architecture-audit,dod-complete,P1,0,,,,
ai-architecture-implementation,dod-complete,P1,0,,,,
ai-assisted-testing,dod-complete,P1,3,agents/ai-assisted-testing-specialist.md;commands/ai-assisted-testing.md;prompts/ai/7-ai-assisted-testing.md,,,
ai-code-review,dod-complete,P1,3,agents/ai-code-review-specialist.md;commands/ai-code-review.md;prompts/ai/8-ai-code-review.md,,,
ai-conops,dod-complete,P1,0,,,,
ai-content-detection,dod-complete,P1,3,agents/ai-content-detection-specialist.md;commands/ai-content-detection.md;prompts/ai/4-ai-content-detection.md,,,
ai-design-patterns,dod-complete,P1,0,,,,
ai-documentation,dod-complete,P1,3,agents/ai-documentation-specialist.md;commands/ai-documentation.md;prompts/ai/9-ai-documentation.md,,,
ai-pipeline-architecture,dod-complete,P1,0,,,,
ai-safety,dod-complete,P1,3,agents/ai-safety-specialist.md;commands/ai-safety.md;prompts/ai/11-ai-safety.md,,,
ai-software-architecture,dod-complete,P1,0,,,,
ai-testing-strategy,dod-complete,P1,0,,,,
